               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099674,             0.05043,            0.050701,           0.0060526,              0.8112,            0.018701,           0.0061499,            0.071573,            0.042676,            0.041978,              0.0021,              0.0021,              0.0811
                   1,            0.073167,            0.049591,            0.034484,             0.33547,             0.28406,             0.10384,            0.038691,            0.072974,            0.037193,            0.033296,            0.004229,            0.004229,            0.061229
                   2,            0.070198,            0.039623,            0.029472,              0.5385,             0.23557,             0.15038,            0.074416,            0.072501,             0.02752,            0.030357,           0.0062855,           0.0062855,            0.041285
                   3,            0.073463,            0.036664,            0.026528,             0.59008,             0.26551,             0.21252,             0.11387,            0.066348,            0.025399,            0.028685,           0.0082693,           0.0082693,            0.021269
                   4,            0.066606,            0.035168,            0.021073,             0.54961,             0.32969,             0.22716,             0.11882,             0.06696,            0.026875,            0.027879,             0.00934,             0.00934,             0.00934
                   5,            0.059686,            0.034835,            0.020921,             0.65498,             0.34452,             0.36999,             0.20054,            0.050841,            0.027859,            0.024807,             0.00934,             0.00934,             0.00934
                   6,            0.053269,            0.038558,            0.018141,             0.65355,             0.40841,             0.37761,             0.19598,            0.051355,            0.032991,            0.026255,            0.009175,            0.009175,            0.009175
                   7,            0.050454,            0.037167,            0.013969,             0.59323,             0.50314,              0.3995,             0.20305,            0.047512,            0.025467,            0.017305,             0.00901,             0.00901,             0.00901
                   8,            0.047674,             0.03834,            0.013134,               0.511,             0.44864,             0.40412,             0.21564,            0.041765,             0.02912,            0.027142,            0.008845,            0.008845,            0.008845
                   9,            0.047757,            0.038686,            0.012369,             0.68931,             0.48858,             0.51064,             0.28548,            0.047993,            0.022371,            0.012288,             0.00868,             0.00868,             0.00868
                  10,            0.044678,            0.036611,            0.012092,              0.6961,             0.52331,             0.52857,             0.30514,             0.04201,            0.023657,             0.01345,            0.008515,            0.008515,            0.008515
                  11,            0.043116,            0.037149,            0.010398,             0.64806,             0.44196,             0.47496,             0.28926,            0.040876,             0.02561,            0.013234,             0.00835,             0.00835,             0.00835
                  12,            0.041168,            0.034856,            0.010806,             0.72517,              0.5127,             0.54195,             0.31838,            0.036306,            0.023696,            0.013432,            0.008185,            0.008185,            0.008185
                  13,            0.039304,            0.035008,            0.011244,             0.76547,              0.5601,             0.60626,             0.35296,            0.036267,            0.022252,            0.010271,             0.00802,             0.00802,             0.00802
                  14,            0.039807,            0.035126,             0.00988,             0.77177,             0.55273,             0.63356,             0.38066,            0.034394,             0.02225,            0.012393,            0.007855,            0.007855,            0.007855
                  15,            0.041738,             0.03576,           0.0074393,             0.81308,             0.57894,              0.6613,             0.42548,            0.030763,            0.021226,           0.0089594,             0.00769,             0.00769,             0.00769
                  16,            0.037697,            0.035671,           0.0077961,             0.80901,             0.58824,             0.68078,             0.41443,            0.031469,            0.019995,           0.0087168,            0.007525,            0.007525,            0.007525
                  17,            0.036479,            0.033789,           0.0093493,               0.847,             0.63262,             0.72216,              0.4762,            0.029153,            0.018835,           0.0073374,             0.00736,             0.00736,             0.00736
                  18,            0.037088,            0.032081,           0.0070654,             0.83104,             0.63357,             0.71803,             0.47427,             0.03179,            0.019333,           0.0073316,            0.007195,            0.007195,            0.007195
                  19,            0.038016,            0.034387,           0.0062225,             0.84066,             0.60957,             0.68755,             0.44056,            0.030463,            0.019924,           0.0080932,             0.00703,             0.00703,             0.00703
                  20,            0.037022,            0.033049,           0.0071891,             0.89041,             0.67782,             0.73719,             0.50753,              0.0272,            0.018353,           0.0063477,            0.006865,            0.006865,            0.006865
                  21,            0.035888,            0.031856,           0.0063454,             0.87758,             0.66518,             0.73134,             0.45659,            0.029883,            0.018533,           0.0067369,              0.0067,              0.0067,              0.0067
                  22,            0.036199,            0.032041,           0.0071732,             0.89045,             0.70369,             0.75782,             0.51025,            0.029747,            0.017629,            0.006094,            0.006535,            0.006535,            0.006535
                  23,            0.035456,            0.032133,           0.0062135,             0.89385,              0.6938,             0.74799,             0.50971,            0.027698,            0.017485,           0.0068106,             0.00637,             0.00637,             0.00637
                  24,            0.033639,            0.031141,           0.0071883,             0.86639,             0.66388,             0.73206,              0.5092,            0.025751,            0.016802,           0.0066756,            0.006205,            0.006205,            0.006205
                  25,            0.032489,            0.031841,           0.0051756,             0.84998,              0.6635,             0.72402,             0.47933,            0.029665,            0.016999,           0.0059842,             0.00604,             0.00604,             0.00604
                  26,            0.032045,            0.029073,           0.0070068,             0.89724,             0.70471,             0.76333,             0.55534,            0.024102,            0.016529,           0.0051291,            0.005875,            0.005875,            0.005875
                  27,            0.033114,            0.030172,           0.0044954,             0.92317,             0.71871,             0.78461,             0.56343,            0.025799,            0.015882,           0.0048383,             0.00571,             0.00571,             0.00571
                  28,            0.030231,            0.030171,           0.0055592,             0.91889,             0.73338,             0.78726,             0.57393,             0.02567,            0.014988,            0.004137,            0.005545,            0.005545,            0.005545
                  29,            0.030767,            0.029962,            0.004861,             0.92764,             0.72744,             0.78877,             0.59204,            0.023867,            0.014723,           0.0039178,             0.00538,             0.00538,             0.00538
                  30,            0.029814,            0.026859,           0.0051357,             0.90411,             0.71104,             0.78215,             0.56913,            0.024797,             0.01557,           0.0040002,            0.005215,            0.005215,            0.005215
                  31,             0.02908,            0.028133,           0.0047207,             0.94365,             0.73981,             0.82665,             0.62524,            0.022595,            0.014158,           0.0030062,             0.00505,             0.00505,             0.00505
                  32,            0.030301,            0.028714,           0.0038198,             0.95065,             0.72971,             0.84434,             0.65083,            0.021071,            0.014376,            0.002769,            0.004885,            0.004885,            0.004885
                  33,            0.029268,            0.028147,           0.0041747,             0.94017,             0.72938,             0.83032,             0.62119,            0.022827,            0.014271,           0.0026626,             0.00472,             0.00472,             0.00472
                  34,            0.028598,            0.026669,           0.0045612,             0.93697,             0.74393,             0.86481,             0.66046,            0.021412,            0.013615,           0.0026488,            0.004555,            0.004555,            0.004555
                  35,            0.028628,            0.027684,           0.0046381,             0.94602,             0.73566,             0.90929,             0.69797,            0.020193,            0.013284,            0.002702,             0.00439,             0.00439,             0.00439
                  36,            0.028157,            0.027865,           0.0046728,             0.96241,             0.76389,             0.93524,             0.70625,            0.021712,            0.013118,           0.0023827,            0.004225,            0.004225,            0.004225
                  37,            0.028525,            0.027615,           0.0037601,             0.96033,             0.76024,             0.94414,             0.73938,            0.020458,            0.012796,           0.0020845,             0.00406,             0.00406,             0.00406
                  38,             0.02836,            0.026501,           0.0032513,             0.96448,             0.76306,              0.9399,             0.73325,            0.019395,             0.01269,           0.0020899,            0.003895,            0.003895,            0.003895
                  39,            0.027922,            0.028077,           0.0027904,             0.97027,              0.7563,             0.93399,             0.70551,            0.020581,            0.012777,           0.0021698,             0.00373,             0.00373,             0.00373
                  40,            0.027228,            0.027228,           0.0027386,             0.80333,             0.85171,             0.93335,             0.72583,            0.019241,            0.012748,            0.002178,            0.003565,            0.003565,            0.003565
                  41,             0.02601,            0.027264,           0.0026795,             0.84846,             0.87109,             0.95413,             0.75087,            0.018391,            0.011883,           0.0016345,              0.0034,              0.0034,              0.0034
                  42,            0.025931,            0.027062,           0.0027253,             0.84695,             0.88543,             0.94522,              0.7459,            0.018119,             0.01223,           0.0014692,            0.003235,            0.003235,            0.003235
                  43,            0.025984,            0.025534,           0.0028513,             0.96703,             0.78481,             0.94499,             0.75086,            0.018146,            0.011477,           0.0014551,             0.00307,             0.00307,             0.00307
                  44,            0.024843,             0.02452,            0.003464,             0.84353,             0.90749,             0.95974,             0.77314,            0.017719,            0.011446,           0.0013583,            0.002905,            0.002905,            0.002905
                  45,            0.024668,            0.024807,           0.0032495,             0.86182,             0.95161,             0.98524,             0.77485,            0.019565,            0.011348,            0.001268,             0.00274,             0.00274,             0.00274
                  46,            0.025189,            0.025278,           0.0027239,              0.8757,             0.95924,             0.98151,               0.795,              0.0178,            0.011159,           0.0012627,            0.002575,            0.002575,            0.002575
                  47,            0.024341,            0.026185,           0.0028131,             0.88477,             0.95666,             0.98603,             0.80971,            0.016667,            0.011016,           0.0012168,             0.00241,             0.00241,             0.00241
                  48,            0.023734,            0.023628,           0.0018601,             0.85637,              0.9775,             0.98908,             0.80721,            0.017112,            0.010828,            0.001113,            0.002245,            0.002245,            0.002245
                  49,            0.024544,            0.023993,           0.0023534,             0.87642,             0.97746,             0.98403,             0.81193,            0.016789,            0.010843,           0.0010834,             0.00208,             0.00208,             0.00208
                  50,            0.023454,            0.025627,           0.0019578,             0.88816,             0.97299,             0.98984,             0.81727,            0.016652,            0.010969,           0.0010411,            0.001915,            0.001915,            0.001915
                  51,            0.022622,            0.024584,           0.0022402,             0.89324,             0.96854,             0.98942,             0.81587,            0.017198,            0.010696,          0.00099333,             0.00175,             0.00175,             0.00175
                  52,             0.02322,            0.023009,           0.0019179,             0.89865,             0.97619,             0.98965,             0.80835,            0.016546,            0.010564,          0.00094221,            0.001585,            0.001585,            0.001585
                  53,            0.022705,            0.025083,           0.0021034,             0.92801,             0.95501,              0.9891,             0.83087,            0.015469,            0.010298,          0.00090374,             0.00142,             0.00142,             0.00142
                  54,            0.021591,            0.022499,            0.001925,             0.93095,             0.96931,             0.98937,             0.81796,             0.01567,            0.010321,          0.00086232,            0.001255,            0.001255,            0.001255
                  55,            0.022082,            0.022811,           0.0018916,             0.93531,             0.97505,             0.98923,              0.8253,            0.015327,            0.010175,          0.00083978,             0.00109,             0.00109,             0.00109
                  56,            0.021862,            0.022957,           0.0019641,             0.91528,             0.97619,             0.98981,             0.83223,            0.015424,             0.01001,          0.00081285,            0.000925,            0.000925,            0.000925
                  57,             0.02163,             0.02378,           0.0022378,             0.92668,             0.97619,             0.99032,              0.8443,            0.014869,           0.0098199,           0.0008006,             0.00076,             0.00076,             0.00076
                  58,            0.021322,            0.021686,           0.0016087,             0.93617,             0.97698,             0.99026,             0.83796,            0.015161,           0.0096975,          0.00077181,            0.000595,            0.000595,            0.000595
                  59,            0.021597,            0.021418,           0.0020993,             0.94819,             0.97698,              0.9897,             0.84409,            0.014989,           0.0096569,          0.00076035,             0.00043,             0.00043,             0.00043
